date,description,amount,category,merchant
2024-04-02,UPI/PROPERTY TAX/618489,8622.88,bills,PROPERTY TAX
2024-02-07,BURGER KING ONLINE 84210205,480.41,food,BURGER KING
2024-04-19,UPI/FAASOS/257775/UTIB,260.05,food,FAASOS
2024-06-25,UPI/BANK CHARGES/095437,235.89,other,BANK CHARGES
2024-05-30,POS/APOLLO PHARMACY MUMBAI,3091.36,health,APOLLO PHARMACY
2024-06-30,POS 9004 PESO THEATRE MUMBAI,475.82,entertainment,PESO
2024-02-19,NAMMA METRO INTERNET 685498,767.0,travel,NAMMA METRO
2024-04-30,UPI/WONDERLA/239594,1109.01,entertainment,WONDERLA
2024-02-07,UPI/P2A/756443909519/RITU REDDY/KKBK,4677.46,other,P2P
2024-06-03,UBER INDIA*1071396,95.77,travel,UBER INDIA
2024-04-03,PEPRA GAS INTERNET 491086,4413.2,bills,PEPRA
2024-02-15,NATURES BASKET INTERNET 334680,1854.44,food,NATURES BASKET
2024-02-21,UPI/NFS CASH WDL/495647,981.67,other,NFS CASH WDL
2024-01-13,UPI/APOLLO PHARMACY/572565/ICIC,382.19,health,APOLLO PHARMACY
2024-04-06,UPI/GOIBIBO/002842,8133.65,travel,GOIBIBO
2024-02-09,UPI/DR/212899151145/MEDPLUS/KKBK/medplus@ybl,2577.7,health,MEDPLUS
2024-03-04,JONEPE FURNITURE*7631010,7570.13,shopping,JONEPE
2024-05-29,UPI/DR/958417491617/BANK CHARGES/HDFC/bank@paytm,454.49,other,BANK CHARGES
2024-03-05,UPI/DR/281606484229/FAASOS/UTIB/faasos@ybl,158.33,food,FAASOS
2024-06-02,UPI/GST ON CHARGES/204167,8.18,other,GST ON CHARGES
2024-02-28,BBPS/JIO RECHARGE/2987698936,947.59,bills,JIO RECHARGE
2024-03-18,HADA JEWELLERS GURGAON IN,4933.74,shopping,HADA
2024-03-15,POS MAKEMYTRIP,2372.79,travel,MAKEMYTRIP
2024-02-28,UPI/BSNL/204144,781.97,bills,BSNL
2024-06-01,UPI/DMART/321334/HDFC,607.42,food,DMART
2024-02-24,ICICI PRUDENTIAL ONLINE 96906764,9901.35,bills,ICICI PRUDENTIAL
2024-04-14,PG*TATA CLIQ*66829732,8863.51,shopping,TATA CLIQ
